old,new
custbody_calculated_margin_amt,custbody_sust_calculated_margin_amt
custbody_calculated_margin_pct,custbody_sust_calculated_margin_pct
custbody_final_settlement,custbody_sust_final_settlement
custbody_lcnrv_review,custbody_sust_lcnrv_review
customrecord_lcnrv_review,customrecord_sust_lcnrv_review
custbody_margin_calc_method,custbody_sust_margin_calc_method
customlist_margin_calc_method,customlist_sust_margin_calc_method
custbody_nt_assigned_operator,custbody_sust_assigned_operator
custbody_nt_carrier_number,custbody_sust_carrier_number
custbody_nt_consol_shipment,custbody_sust_consol_shipment
customrecord_nt_consol_ship,customrecord_sust_consol_ship
custbody_nt_priority,custbody_sust_priority
custbody_nt_total_gross_wt,custbody_sust_total_gross_wt
custbody_nt_total_net_wt,custbody_sust_total_net_wt
custbody_nt_total_pallets,custbody_sust_total_pallets
custbody_pricing_timing,custbody_sust_pricing_timing
customlist_pricing_timing,customlist_sust_pricing_timing
custbody_processing_status,custbody_sust_processing_status
customlist_processing_status,customlist_sust_processing_status
custbody_settlement_calculation,custbody_sust_settlement_calculation
customrecord_settlement_record,customrecord_sust_settlement_record
custbody_settlement_date,custbody_sust_settlement_date
custbody_settlement_method,custbody_sust_settlement_method
customlist_settlement_method,customlist_sust_settlement_method
custbody_settlement_record,custbody_sust_settlement_record
custbody_settlement_status,custbody_sust_settlement_status
customlist_settlement_status,customlist_sust_settlement_status
custcol_allocated_lot,custcol_sust_allocated_lot
custcol_financing_insurance,custcol_sust_financing_insurance
custcol_freight,custcol_sust_freight
custcol_packaging_instructions,custcol_sust_packaging_instructions
custcol_packaging_type,custcol_sust_packaging_type
customlist_packaging_type,customlist_sust_packaging_type
custcol_premium,custcol_sust_premium
custcol_price_per_lb_received,custcol_sust_price_per_lb_received
custcol_price_per_lb_recovered,custcol_sust_price_per_lb_recovered
custcol_pricing_timing,custcol_sust_pricing_timing
custcol_processing_id,custcol_sust_processing_id
customrecord_processing_record,customrecord_sust_processing_record
custcol_received_lot,custcol_sust_received_lot
custcol_scrap_gross_weight,custcol_sust_scrap_gross_weight
custcol_scrap_net_weight,custcol_sust_scrap_net_weight
custcol_settlement_id,custcol_sust_settlement_id
custcol_settlement_schedule,custcol_sust_settlement_schedule
customrecord_settlement_schedule,customrecord_sust_settlement_schedule
custcol_vendor_lot_number,custcol_sust_vendor_lot_number
custentity_federal_tax_id,custentity_sust_federal_tax_id
custentity_pay_on_receipt,custentity_sust_pay_on_receipt
custitemnumber_lot_notes,custitemnumber_sust_lot_notes
custitemnumber_lot_source_type,custitemnumber_sust_lot_source_type
customlist_lot_source_type,customlist_sust_lot_source_type
custitemnumber_lot_status,custitemnumber_sust_lot_status
customlist_lot_status,customlist_sust_lot_status
custitemnumber_processing_record,custitemnumber_sust_processing_record
custitemnumber_received_date,custitemnumber_sust_received_date
custitemnumber_recovery_percentage,custitemnumber_sust_recovery_percentage
custitemnumber_vendor_lot_number,custitemnumber_sust_vendor_lot_number
custitem_cost_alloc_class,custitem_sust_cost_alloc_class
customlist_cost_alloc_class,customlist_sust_cost_alloc_class
custitem_is_scrap_material,custitem_sust_is_scrap_material
custitem_market_price_source,custitem_sust_market_price_source
customlist_market_price_source,customlist_sust_market_price_source
custitem_material_category,custitem_sust_material_category
customlist_material_category,customlist_sust_material_category
custitem_nrv_per_lb,custitem_sust_nrv_per_lb
custitem_output_form,custitem_sust_output_form
customlist_output_type,customlist_sust_output_type
custitem_typical_recovery,custitem_sust_typical_recovery
customlist_alloc_mode,customlist_sust_alloc_mode
customlist_calculation_status,customlist_sust_calculation_status
customlist_equipment,customlist_sust_equipment
customlist_lcnrv_status,customlist_sust_lcnrv_status
customlist_nt_consol_ship_status,customlist_sust_consol_ship_status
customlist_nt_pallet_type,customlist_sust_pallet_type
customlist_outlet_type,customlist_sust_outlet_type
customlist_output_disposition,customlist_sust_output_disposition
customlist_penalty_calc_type,customlist_sust_penalty_calc_type
customlist_process_type,customlist_sust_process_type
customlist_proc_source_type,customlist_sust_proc_source_type
customlist_relationship_type,customlist_sust_relationship_type
customlist_settlement_mode,customlist_sust_settlement_mode
customrecord_api_config,customrecord_sust_api_config
custrecord_api_name,custrecord_sust_api_name
custrecord_api_key,custrecord_sust_api_key
custrecord_api_base_url,custrecord_sust_api_base_url
custrecord_api_active,custrecord_sust_api_active
custrecord_api_last_run,custrecord_sust_api_last_run
custrecord_api_notes,custrecord_sust_api_notes
customrecord_item_output_template,customrecord_sust_item_output_template
custrecord_template_input_item,custrecord_sust_template_input_item
custrecord_template_sequence,custrecord_sust_template_sequence
custrecord_template_output_item,custrecord_sust_template_output_item
custrecord_template_output_type,custrecord_sust_template_output_type
custrecord_template_default_pct,custrecord_sust_template_default_pct
custrecord_template_disposition,custrecord_sust_template_disposition
custrecord_template_active,custrecord_sust_template_active
custrecord_lcnrv_lot,custrecord_sust_lcnrv_lot
custrecord_lcnrv_item,custrecord_sust_lcnrv_item
custrecord_lcnrv_qty_on_hand,custrecord_sust_lcnrv_qty_on_hand
custrecord_lcnrv_cost_per_lb,custrecord_sust_lcnrv_cost_per_lb
custrecord_lcnrv_cost_total,custrecord_sust_lcnrv_cost_total
custrecord_lcnrv_nrv_per_lb,custrecord_sust_lcnrv_nrv_per_lb
custrecord_lcnrv_nrv_total,custrecord_sust_lcnrv_nrv_total
custrecord_lcnrv_nrv_source,custrecord_sust_lcnrv_nrv_source
custrecord_lcnrv_variance,custrecord_sust_lcnrv_variance
custrecord_lcnrv_variance_pct,custrecord_sust_lcnrv_variance_pct
custrecord_lcnrv_run_date,custrecord_sust_lcnrv_run_date
custrecord_lcnrv_status,custrecord_sust_lcnrv_status
custrecord_lcnrv_reviewer,custrecord_sust_lcnrv_reviewer
custrecord_lcnrv_notes,custrecord_sust_lcnrv_notes
custrecord_lcnrv_adjustment,custrecord_sust_lcnrv_adjustment
customrecord_lot_relationship,customrecord_sust_lot_relationship
custrecord_parent_lot,custrecord_sust_parent_lot
custrecord_child_lot,custrecord_sust_child_lot
custrecord_relationship_type,custrecord_sust_relationship_type
custrecord_melt_sheet_ref,custrecord_sust_melt_sheet_ref
custrecord_processing_ref,custrecord_sust_processing_ref
custrecord_qty_consumed,custrecord_sust_qty_consumed
custrecord_contribution_pct,custrecord_sust_contribution_pct
customrecord_melt_sheet,customrecord_sust_melt_sheet
customrecord_market_price,customrecord_sust_market_price
custrecord_mp_date,custrecord_sust_mp_date
custrecord_mp_source,custrecord_sust_mp_source
custrecord_mp_price_per_lb,custrecord_sust_mp_price_per_lb
custrecord_mp_raw_rate,custrecord_sust_mp_raw_rate
custrecord_mp_raw_unit,custrecord_sust_mp_raw_unit
custrecord_mp_fetched_at,custrecord_sust_mp_fetched_at
custrecord_cs_ship_date,custrecord_sust_cs_ship_date
custrecord_cs_carrier,custrecord_sust_cs_carrier
custrecord_cs_bol_number,custrecord_sust_cs_bol_number
custrecord_cs_total_weight,custrecord_sust_cs_total_weight
custrecord_cs_total_pallets,custrecord_sust_cs_total_pallets
custrecord_cs_notes,custrecord_sust_cs_notes
custrecord_cs_status,custrecord_sust_cs_status
